arbol	tree
empaquetar	pack
bajo	below
salir	exit
servidor	server
esquemas	schemes
ordenar	sort
vacia	empty
carpetas	folders
guardado	saved
trozos	chunks
ultimos	last
acorde	chord
desplazar	scroll
comparar	compare
quieto	idle
curso	progress
banda	band
debe	must
entero	whole
colocacion	placement
formulario	form
donde	where
fotos	snapshots
sistema	system
alterna	toggles
botones	buttons
cierre	close
hostiles	hostile
ajeno	foreign
cero	zero
parte	part
invalido	invalid
desinstalar	uninstall
comprobado	checked
degradada	degraded
limpio	clean
pausar	pause
abre	opens
minimo	min
peso	weight
rehusa	refuses
cargando	loading
hacia	toward
escrituras	writes
pedira	will_request
izquierda	left
opciones	options
pinta	paints
carga	load
soportado	supported
tercero	third
elementos	items
plantilla	template
bajar	down
borrado	deleted
recuento	count
suelta	detached
comprobar	check
ocultos	hidden
quiere	wants
falta	missing
cambiar	change
aqui	here
componer	compose
notas	notes
reemplazar	replace
errores	errors
muerto	dead
queda	remains
sobra	extra
todas	all
deshecha	undone
midiendo	measuring
oscuro	dark
margen	margin
navegacion	navigation
captura	capture
razon	reason
unidad	unit
corte	cutoff
evento	event
salto	jump
resultados	results
semanticos	semantic
cabe	fits
pausa	pause
acercar	zoom_in
cara	side
cifra	figure
dibujo	drawing
glifo	glyph
iconos	icons
listo	ready
mostrado	shown
moviendo	moving
hace	does
recientes	recent
quien	who
recortado	cropped
trozo	chunk
viejo	old
idioma	language
entorno	environment
esperando	waiting
instantanea	snapshot
leida	read
politica	policy
sembrar	seed
tabla	table
mas	more
respuesta	response
aplicado	applied
cursores	cursors
encender	turn_on
paginas	pages
seguro	safe
puesto	placed
esta	this
alterado	altered
cambiado	changed
candidatos	candidates
ceder	yield
crudos	raw
declara	declares
habia	had
hechos	facts
hora	time
inerte	inert
izquierdo	left
llegaron	arrived
llego	arrived
esperaba	expected
comprueba	checks
quedan	remain
raices	roots
secretos	secrets
sugerido	suggested
verbos	verbs
disponible	available
veredictos	verdicts
descartar	discard
desempaquetar	unpack
entera	whole
girar	rotate
igualar	equalize
intercambiar	swap
juntar	join
campos	fields
consultar	query
declarado	declared
formas	forms
copiado	copied
rechazo	rejection
humano	human
acepta	accepts
vacios	empty
quitar	remove
saltar	skip
encendido	on
entregar	deliver
invalida	invalid
paralelo	parallel
rastro	trail
ejecuta	runs
terminada	finished
traer	bring
acabo	ended
aguja	needle
gestor	manager
aprobada	approved
atenuado	dimmed
cargar	load
copia	copy
cuenta	count
honesto	honest
compartido	shared
icono	icon
inverso	inverse
llama	calls
recuperar	recover
trampa	trap
verificar	verify
apagar	turn_off
rapido	fast
creacion	creation
fijar	pin
apagado	off
aplicando	applying
contador	counter
arrastrar	drag
clases	classes
calculado	computed
pulsado	pressed
atributos	attributes
descartadas	discarded
prefijo	prefix
seguir	follow
sujeto	subject
valores	values
tres	three
ignora	ignores
teclado	keyboard
desconocida	unknown
desmarcar	unmark
invertir	invert
movimiento	move
sincronizar	sync
barridos	sweeps
barrer	sweep
confianza	trust
ver	view
ajustar	fit
acoplado	docked
aterriza	lands
bloque	block
categoria	category
distintos	different
duena	owner
empaquetados	packed
modificador	modifier
escribe	writes
estrecha	narrow
estrecho	narrow
limpia	clean
filtrar	filter
decirlo	say_it
hechas	done
hubo	was
libre	free
movio	moved
nativa	native
aplicable	applicable
operando	operating
pesa	weighs
entre	between
recorre	walks
reiniciar	restart
reloj	clock
ritmo	pace
segmento	segment
confinar	confine
sueltas	loose
tarea	task
rechazada	rejected
veces	times
victima	victim
visitados	visited
eco	echo
sabe	knows
avisa	warns
ser	be
puede	can
forma	shape
invisibles	invisible
medida	measured
gastar	spend
actuar	act
encima	above
avisar	warn
dado	given
edicion	edit
conceder	grant
gesto	gesture
fallos	failures
iniciales	initial
huella	footprint
instancia	instance
roto	broken
listar	list
terminado	finished
trabajo	work
reclamar	claim
restablecer	reset
rueda	wheel
cada	each
escrita	written
quitado	removed
cargado	loaded
relevado	handed_off
seleccion	selection
toda	all
soltado	released
apaga	turns_off
remota	remote
arrastra	drags
pareja	pair
ata	binds
verdad	truth
cambian	change
capturar	capture
cargada	loaded
carpeta	folder
caso	case
activa	active
comprobados	checked
mayus	shift
conflicto	conflict
aparece	appears
distintas	different
durante	during
cortos	short
encendida	on
ensena	shows
enviar	send
existe	exists
faltan	missing
baja	down
suma	checksum
identico	identical
imposible	impossible
inservible	unusable
larga	long
marcado	marked
medio	middle
mensajes	messages
mide	measures
mostrados	shown
operar	operate
distinto	different
binario	binary
huerfanos	orphans
recoge	collects
rehacer	redo
panico	panic
claro	light
tenia	had
tocar	touch
trabajos	jobs
vocabulario	vocabulary
digitos	digits
filtra	filters
agente	agent
valida	valid
grupos	groups
mal	bad
rechaza	rejects
familia	family
nucleo	core
siguen	follow
vez	time
abiertos	open
parcial	partial
ejecutable	executable
almacen	store
ancha	wide
denegar	deny
pulsacion	keypress
atado	bound
atar	bind
buenas	good
cabeza	head
caduca	expires
calculada	computed
cerrada	closed
colocados	placed
comillas	quotes
confirmacion	confirmation
contar	count
corto	short
cuanto	how_much
cuantos	how_many
delante	ahead
descripcion	description
deshaciendo	undoing
desplegar	expand
diagnostico	diagnostic
dibujar	draw
dicho	said
escribiendo	writing
escuchando	listening
espacio	space
estados	states
filtrando	filtering
filtros	filters
vacias	empty
gastado	spent
raton	mouse
grande	large
pestanas	tabs
habla	speaks
heredar	inherit
ortodoxo	orthodox
instalar	install
intento	attempt
miga	crumb
juntos	together
leidos	read
lleva	carries
contesta	answers
marcada	marked
marcados	marked
migas	crumbs
modales	modals
modelo	model
ningun	no
nodos	nodes
ocupados	busy
ofrecer	offer
vivos	alive
otras	others
pantallas	screens
papel	paper
pasar	pass
pista	hint
pregunta	question
preguntando	asking
principio	start
publicador	publisher
posible	possible
raro	odd
recargar	reload
recorrer	walk
registrados	registered
ortografia	spelling
punto	point
solapan	overlap
semilla	seed
debajo	below
soporta	supports
sufijo	suffix
terminar	finish
titulos	titles
toma	takes
propio	own
usado	used
vaciar	clear
lleno	full
conserva	keeps
gana	wins
abiertas	open
degrada	degrades
aplica	applies
toca	touches
valido	valid
evita	avoids
archivos	archives
cierra	closes
normaliza	normalizes
identificador	identifier
enmascara	masks
montaje	mount
cuadra	matches
aceptado	accepted
lecturas	reads
tiempo	time
exacto	exact
mundo	world
paginado	paged
pintan	paint
ordena	sorts
detecta	detects
contacto	contact
fabrica	factory
consentimiento	consent
topes	caps
nunca	never
envuelve	wraps
cae	falls
resuelve	resolves
registra	logs
ese	that
aprueba	approves
una	one
devuelve	returns
