ejecutar_por_paleta	run_by_palette
huecos_de_preview	preview_slots
huella_a_nodo	footprint_to_node
huella_de_nodo	node_footprint
id_de_fila	row_id
identidad_de_texto	text_identity
indice_de_ir_a	goto_index
informe_de_empaquetado	packaging_report
informe_de_sumas	checksums_report
instantanea_de_perfil	profile_snapshot
ir_a_miga	go_to_crumb
ir_a_pestana	go_to_tab
lanzar_plan_de_sync	launch_sync_plan
linea_con_encoding	line_with_encoding
linea_de_registro	log_line
linea_de_timeline	timeline_line
lineas_de_detalle	detail_lines
mapa_de	map_of
migas_de	crumbs_of
mover_en_tablero	move_on_board
nivel_de_registro	log_level
nota_de_fuente	source_note
operandos_de_transferencia	transfer_operands
ordenar_por	sort_by
panel_de_registro	log_panel
pasar_al_keymap	pass_to_keymap
perfil_de_arranque	startup_profile
pie_de_columnas	column_footer
politica_de_colision	collision_policy
por_teclado	by_keyboard
preguntar_por_deshacer	ask_for_undo
quitar_de_historia	remove_from_history
ramas_del_listado	listing_branches
rechazo_de_lote	batch_rejection
rename_de_ortografia	spelling_rename
rotulos_de_comando	command_labels
rueda_en_el_visor	wheel_in_viewer
rueda_en_preview	wheel_in_preview
saltar_a_seccion	jump_to_section
saltar_al_punto	jump_to_point
se_solapan	they_overlap
se_va_a_deshacer	will_undo
semilla_de_ids	id_seed
siguiente_del_anillo	next_in_ring
sin_gastar	unspent
sincronizacion_de_referencia	reference_sync
slots_de_referencia	reference_slots
snapshot_de_referencia	reference_snapshot
spawn_daemon_plugins_ok_y_roto	spawn_daemon_plugins_ok_and_broken
sujeto_de_aprobacion	approval_subject
tag_de_accion	action_tag
tamano_del_terminal	terminal_size
tecla_de_acorde	chord_key
tecla_de_filtro	filter_key
tecla_de_un_overlay	key_of_an_overlay
tecla_en_agentes	key_in_agents
tecla_en_ajustes	key_in_settings
tecla_en_asistente	key_in_wizard
tecla_en_ayuda	key_in_help
tecla_en_busqueda	key_in_search
tecla_en_columnas	key_in_columns
tecla_en_comparacion	key_in_comparison
tecla_en_dialogo	key_in_dialog
tecla_en_disposiciones	key_in_layouts
tecla_en_extensiones	key_in_extensions
tecla_en_ir_a	key_in_goto
tecla_en_menu	key_in_menu
tecla_en_paleta	key_in_palette
tecla_en_perfiles	key_in_profiles
tecla_en_preview	key_in_preview
tecla_en_quick	key_in_quick
tecla_en_revision_ia	key_in_ai_review
tecla_en_selector	key_in_selector
tecla_en_sincronizacion	key_in_sync
tecla_en_splash	key_in_splash
tecla_en_tema	key_in_theme
tecla_en_terminal	key_in_terminal
tecla_en_visor	key_in_viewer
tic_de_registro	log_tick
vista_de_linea	timeline_view
vista_de_mapa	map_view
volumen_de_sobra	spare_volume
volumenes_de_lado	side_volumes
zona_de_panel_en	pane_zone_in
access_key_o_secret_vacios_son_error_local	empty_access_key_or_secret_is_local_error
apply_cd_swapped_reconcilia_el_estado_del_run_loop	apply_cd_swapped_reconciles_run_loop_state
ask_secret_acepta_confirm_y_no_approve	ask_secret_accepts_confirm_and_not_approve
auth_degrada_a_permission_denied	auth_degrades_to_permission_denied
auth_key_no_aplica_a_ftp	auth_key_does_not_apply_to_ftp
auth_por_agente	auth_by_agent
auth_por_clave_ed25519_cifrada	auth_by_encrypted_ed25519_key
auto_usa_kitty_solo_si_el_terminal_sabe	auto_uses_kitty_only_if_terminal_knows
blocks_a_kitty_no_toca_el_modo_pineado	blocks_to_kitty_does_not_touch_pinned_mode
build_diagnostics_keymap_valido_sin_hallazgos	build_diagnostics_valid_keymap_without_findings
cancelar_sin_tasks_lo_dice	cancel_without_tasks_says_so
cancelled_conserva_el_fill	cancelled_keeps_the_fill
clase_del_futuro	future_class
compare_size_probe_targets_ignora_dir_y_lo_ya_hidratado	compare_size_probe_targets_ignores_dir_and_already_hydrated
con_mouse_false_no_hay_captura_ni_manejo	with_mouse_false_no_capture_or_handling
con_un_solo_browser_no_hay_destino	with_a_single_browser_there_is_no_destination
confirm_acepta_confirm_y_approve	confirm_accepts_confirm_and_approve
connect_valida_y_opera	connect_validates_and_operates
copy_native_padre_del_destino_ausente_es_not_found	copy_native_missing_destination_parent_is_not_found
criteria_vacia_es_error_y_no_el_default_del_wire	empty_criteria_is_error_not_wire_default
cursor_en_pane_vacio_no_revienta	cursor_in_empty_pane_does_not_crash
defaults_sin_ninguna_capa	defaults_without_any_layer
degradacion_evita_rgb_en_terminal_pobre	degradation_avoids_rgb_on_poor_terminal
del_panel_de_procesos_se_sale_tabulando	tabbing_exits_the_processes_panel
dir_sin_archivos_no_molesta	dir_without_files_does_not_bother
dock_derecha_va_al_final	right_dock_goes_last
drop_cierra_el_pipeline	drop_closes_the_pipeline
el_arbol_round_trippea_en_toml	the_tree_round_trips_in_toml
el_digest_se_normaliza_a_minuscula	the_digest_normalizes_to_lowercase
el_hermano_gana	the_sibling_wins
el_identificador_no_dice_spike	the_identifier_does_not_say_spike
el_limit_cero_es_error_y_el_ausente_es_el_default	zero_limit_is_error_and_absent_is_default
el_renderer_solo_invoca_comandos_conocidos	the_renderer_only_invokes_known_commands
el_sobre	the_envelope
en_bloques_sin_previewer_el_visor_lo_dice	in_blocks_without_previewer_the_viewer_says_so
en_kitty_sin_miniatura_el_visor_lo_dice	in_kitty_without_thumbnail_the_viewer_says_so
endpoint_acepta_el_scheme_de_un_plugin	endpoint_accepts_a_plugin_scheme
endpoint_o_region_vacios_son_error_local	empty_endpoint_or_region_is_local_error
enter_en_un_disco_da_su_montaje	enter_on_a_disk_gives_its_mount
failed_conserva_el_fill	failed_keeps_the_fill
frame_pinta_panes_y_badge_no_utf8	frame_paints_panes_and_non_utf8_badge
has_room_to_split_cuadra_con_el_colapso	has_room_to_split_matches_the_collapse
ida_y_vuelta	round_trip
is_folded_sigue_al_toggle	is_folded_follows_the_toggle
krusader_es_orthodox_con_el_sidebar_puesto	krusader_is_orthodox_with_sidebar_on
la_raiz_ocupada_se_numera_sin_padre	the_taken_root_is_numbered_without_parent
la_tolerancia_por_defecto_es_la_del_wire	the_default_tolerance_is_the_wires
lecturas_sin_scope_son_accionables	reads_without_scope_are_actionable
lee_la_forma_bsd	reads_the_bsd_form
lee_la_forma_escapada_de_coreutils	reads_the_escaped_coreutils_form
linea_de_tiempo	timeline
los_tres_veredictos	the_three_verdicts
mod_es_ctrl_por_defecto	mod_is_ctrl_by_default
panel_de_tasks_y_modal_se_pintan	tasks_panel_and_modal_are_painted
paneles_de_plugin	plugin_panes
password_inline_en_url_rechazado_sin_eco	inline_password_in_url_rejected_without_echo
pax_len_en_transiciones_de_digitos	pax_len_in_digit_transitions
picker_ordena_y_persiste	picker_sorts_and_persists
picker_toggle_persiste_la_lista	picker_toggle_persists_the_list
placements_y_hidden_particionan_el_arbol	placements_and_hidden_partition_the_tree
profile_start_no_revive_un_hueco_huerfano	profile_start_does_not_revive_an_orphan_slot
prueba_del_daemon	daemon_test
rafaga_coalesce_a_un_evento	burst_coalesces_to_one_event
rebind_explicito_de_enter_a_approve_es_consentimiento_informado	explicit_rebind_of_enter_to_approve_is_informed_consent
refreshed_suelta_el_fill_del_pane_relistado	refreshed_releases_the_fill_of_the_relisted_pane
replaced_suelta_el_fill_del_pane	replaced_releases_the_fill_of_the_pane
revelar_atraviesa_los_grupos_anidados	reveal_crosses_the_nested_groups
ris_reinicia_del_todo	ris_resets_everything
s3_con_user_o_puerto_se_rechaza	s3_with_user_or_port_is_rejected
scroll_con_topes_y_truncado_visible	scroll_with_caps_and_visible_truncation
secret_access_key_nunca_en_el_error	secret_access_key_never_in_the_error
siempre_se_pinta_algo	something_is_always_painted
sin_ancestro_en_el_eje_se_envuelve	without_ancestor_on_axis_it_wraps
sin_hermano_se_cae_al_path	without_sibling_it_falls_back_to_path
snapshot_settings_filtrada_y_editando_texto	snapshot_settings_filtered_and_editing_text
snapshot_sync_pane_mirror_sin_papelera	snapshot_sync_pane_mirror_without_trash
snapshot_sync_pane_update_con_papelera	snapshot_sync_pane_update_with_trash
snapshot_viewer_texto_y_hex	snapshot_viewer_text_and_hex
substitute_auto_solo_cambia_los_auto	substitute_auto_only_changes_the_autos
symlink_unknown_con_targets_hostiles	symlink_unknown_with_hostile_targets
symlink_unknown_resuelve_el_kind_del_target	symlink_unknown_resolves_the_target_kind
synthetic_attrs_hostiles_y_deterministas	synthetic_attrs_hostile_and_deterministic
the_unenumerated_invisibles_are_a_hazard	the_unenumerated_invisibles_are_a_hazard
trust_con_fingerprint_incorrecto_no_registra	trust_with_wrong_fingerprint_does_not_register
un_arbol_con_ids_repetidos_no_se_usa	a_tree_with_repeated_ids_is_not_used
un_binding_no_disponible_ensombrece_al_de_global	an_unavailable_binding_shadows_the_global_one
un_click_en_un_panel_lateral_le_da_el_teclado	a_click_on_a_side_pane_gives_it_the_keyboard
un_directorio_no_es_un_daemon	a_directory_is_not_a_daemon
un_flag_desconocido_no_se_traga	an_unknown_flag_is_not_swallowed
un_kind_sin_ese_rol_no_es_candidato	a_kind_without_that_role_is_not_a_candidate
un_panel_consentido_es_un_kind_con_su_prefijo	a_consented_pane_is_a_kind_with_its_prefix
un_plan_sin_leer_no_se_aprueba	an_unread_plan_is_not_approved
un_preset_no_puede_repinar_tab	a_preset_cannot_rebind_tab
un_replay_o_un_seed_no_cuentan_como_visita	a_replay_or_a_seed_does_not_count_as_a_visit
un_split_con_un_hijo_fijo_no_colapsa	a_split_with_a_fixed_child_does_not_collapse
vpath_invalido_es_error_de_tool_local	invalid_vpath_is_a_local_tool_error
